carrera	race
ganado	won
viento	wind
meta	finish line
teclado	keyboard
ventana	window
cuenta	account
barco	boat
toca	knocks, touches (tocar)
ronronea	purrs
sonríe	smiles
cruasán	croissant
arrogante	arrogant
vecina	neighbor
sobre	envelope; on, about
alma	soul
llave	key
reloj	clock, watch
cinta	belt; (baggage) carousel
desconocido	stranger; unknown
sensatos	sensible
apagó	turned off (apagar)
sabio	wise
costumbre	habit, custom
silencio	silence
araña	scratches (arañar); spider
receta	recipe
salsa	sauce; salsa
hierbas	herbs
tía	aunt
cumpleaños	birthday
desenchufa	unplugs (desenchufar)
chocolate	chocolate
